"bar_description"	"brewer_name"	"beer_name"	"gyle_abv"	"beer_style"	"num_kils"	"cask_size"	"distributor_name"	"cask_comment"	"cask_price"	"festival_year"
"South"	"Barum"	"Barumberg Lager"	5.00%	"Lager"	3	"18s"	"Molecrew"			2005
"South"	"Berrow"	"BBBB"	3.90%	"Best Bitter"	3	"18s"	"Moor"		127.12	2005
"South"	"Blackawton"	"Headstrong"	5.20%	"Strong"	3	"18s"	"Moor"			2005
"South"	"Blue Anchor"	"Spingo IPA"	4.50%	"Premium"	3	"18s"	"Moor"			2005
"South"	"Burrington"	"Brown Wheat"	5.00%	"Wheat"	3	"18s"	"Moor"			2005
"South"	"Cheriton"	"Village Elder"	3.80%	"Bitter"	3	"18s"	"East west"		112.5	2005
"South"	"Dark Star"	"Expresso Stout"	4.20%	"Stout"	3	"18s"	"East West"		111.5	2005
"South"	"Dog House"	"Loyal Corgi"	4.70%	"premium"	3	"18s"	"Moor"			2005
"South"	"Downton"	"Chimina Wheat"	4.70%	"Wheat"	3	"18s"	"Small Beer"			2005
"South"	"Exe Valley"	"Spring Beer"	4.30%	"Best Bitter"	3	"18s"	"Moor"		131.62	2005
"South"	"Frog island"	"Fire Bellied Toad"	5.00%	"Strong"	3	"18s"	"Frog island"			2005
"South"	"Gales"	"Festival Mild"	4.80%	"Strong Mild"	3	"18s"	"Small Beer"			2005
"South"	"Glastonbury"	"Leyline dark"	4.20%	"Best Bitter"	3	"18s"	"Moor"		116	2005
"South"	"Goddard"	"Fuggle De Dum"	5.20%	"Strong"	3	"18s"	"Molecrew"			2005
"South"	"Grand Union"	"Kolsh"	4.80%	"Lager"	3	"18s"	"Molecrew"			2005
"South"	"Harveys"	"Knotts of May Mild"	3.80%	"Mild"	1.5	"9s"	"East West"			2005
"South"	"Harveys"	"Russian Imperial Stout"	9.50%	"Stout"	3	"9s"	"East West"			2005
"South"	"Hidden"	"Pint"	3.80%	"Bitter"	3	"18s"	"Molecrew"		104	2005
"South"	"Itchen Valley"	"Hampshire Rose"	4.20%	"Best Bitter"	3	"18s"	"Molecrew"			2005
"South"	"Keltek"	"Myth"	4.20%	"Best Bitter"	3	"18s"	"molecrew"			2005
"South"	"Loddon"	"bamboozle"	4.80%	"premium"	3	"18s"	"Molecrew"			2005
"South"	"Moor"	"Peat Porter"	4.50%	"Porter"	3	"18s"	"Moor"		108	2005
"South"	"Nelson"	"Trafalgar"	4.10%	"Best Bitter"	3	"18s"	"East West"			2005
"South"	"Newmans"	"Wolvers Ale"	4.10%	"Best Bitter"	3	"18s"	"Moor"			2005
"South"	"Organic"	"Wolf Rock"	5.00%	"premium"	3	"18s"	"Moor"		114	2005
"South"	"Randells"	"Cynful"	3.50%	"mild"	1.5	"9s"	"East West"			2005
"South"	"Randells"	"Island Gold"	4.00%	"Best Bitter"	3	"9s"	"East West"			2005
"South"	"Rockingham"	"Fruits of the Forest"	4.00%	"Best Bitter"	1.5	"9s"	"Brewery"			2005
"South"	"Rockingham"	"Terrific Pacific"	4.10%	"Best Bitter"	1.5	"9s"	"Brewery"			2005
"South"	"Suffolk Hills"	"Shere Drop"	4.20%	"Best Bitter"	1.5	"9s"	"Suffolk Hills"			2005
"South"	"Swan on the Green"	"Ginger"	3.60%	"Speciality"	3	"9s"	"east West"			2005
"South"	"Triple FFF"	"Dazed and Confused"	5.00%	"Premium"	3	"18s"	"Molecrew"		136	2005
"South"	"Triple FFF"	"Pressed rat & warthog"	3.80%	"Mild"	1.5	"9s"	"Molecrew"		110	2005
"South"	"Welton"	"Pride & Joy"	3.80%	"Lunchon/Light Ale"	3	"18s"	"Molecrew"			2005
"South"	"Westerham"	"British Bulldog"	4.30%	"Best Bitter"	3	"18s"	"High Spirits"		1245.66	2005
"South"	"White Horse "	"Bitter"	3.80%	"Bitter"	3	"18s"	"Direct"		125.22	2005
"South"	"Wickwar"	"IKA"	4.50%	"premium"	3	"18s"	"High Spirits"		136	2005
"South"	"Yates (IOW)"	"Undercliffe Experience"	4.10%	"Best Bitter"	3	"18s"	"Molecrew"			2005
"South"	"Youngs"	"Double Chocolate Stout"	5.20%	"Stout"	3	"18s"	"East West"	"Plus 1 x 9 for staff party"		2005
"South"	"Pot Belly"	"Redwing"	4.80%	"Strong"	3	"9s"	"Direct"			2005
